City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,happy valley-goose bay,53.3168,-60.3315,11.17,50,20,4.12,CA,1687228053
135,katsuura,35.1333,140.3,25.01,67,98,4.81,JP,1687228054
136,kidal,18.4411,1.4078,34.26,23,67,2.45,ML,1687227976
137,talakan,50.3167,130.3667,26.61,32,100,5.73,RU,1687228054
138,maxixe,-23.8597,35.3472,17.05,90,0,4.17,MZ,1687228054
139,aasiaat,68.7098,-52.8699,2.81,83,100,2.56,GL,1687228054
140,kousseri,12.0769,15.0306,26.98,78,100,3.09,CM,1687228054
141,kaa-khem,51.6833,94.7333,24.19,31,100,0.87,RU,1687228054
142,prince rupert,54.3161,-130.3201,14.83,94,100,6.69,CA,1687227811
143,port alfred,-33.5906,26.891,12.55,59,72,12.92,ZA,1687228055
144,rabo de peixe,37.8,-25.5833,17.73,88,40,0.0,PT,1687228055
145,hinton,53.4001,-117.5857,3.13,100,100,3.43,CA,1687228055
146,nova sintra,14.8667,-24.7167,21.19,84,66,2.24,CV,1687228055
147,ilulissat,69.2167,-51.1,6.01,65,75,1.03,GL,1687228055
148,nemuro,43.3236,145.575,12.39,78,53,1.66,JP,1687228055
149,cadale,2.7603,46.3222,25.84,79,100,8.17,SO,1687228055
150,malango,-2.9627,119.9001,23.92,83,97,1.23,ID,1687228055
151,utrik,11.2278,169.8474,27.94,78,75,6.46,MH,1687228055
152,touros,-5.1989,-35.4608,24.7,86,100,5.16,BR,1687228055
153,altai,46.3722,96.2583,20.86,17,100,7.63,MN,1687228055
154,itoman,26.1247,127.6694,30.21,84,75,5.14,JP,1687228056
155,wailua homesteads,22.0669,-159.378,27.24,75,40,5.14,US,1687228056
156,anadyr,64.75,177.4833,21.28,37,20,4.0,RU,1687228056
157,hinthada,17.6333,95.4667,28.49,74,87,3.36,MM,1687228056
158,alo,7.4178,6.7371,23.28,99,99,1.53,NG,1687228056
159,muli,2.9167,73.5667,28.39,76,16,5.71,MV,1687227936
160,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.57,GF,1687228056
161,ivdel',60.6911,60.4206,7.38,70,100,5.05,RU,1687228056
162,aleksandrovsk-sakhalinskiy,50.8975,142.1561,14.54,69,7,4.42,RU,1687228056
163,port saint john's,-31.6229,29.5448,17.06,38,7,9.44,ZA,1687228057
164,hasaki,35.7333,140.8333,24.56,67,91,4.5,JP,1687228057
165,tura,25.5198,90.2201,24.86,93,83,3.15,IN,1687228057
166,new norfolk,-42.7826,147.0587,11.51,55,88,0.45,AU,1687228057
167,dunedin,-45.8742,170.5036,12.11,86,99,4.92,NZ,1687228057
168,sant'antioco,39.0664,8.4522,22.16,68,53,5.9,IT,1687228021
169,kone,-21.0595,164.8658,26.6,47,11,1.86,NC,1687228057
170,zhengzhou,34.7578,113.6486,30.27,47,37,2.74,CN,1687228057
171,labytnangi,66.6572,66.4183,7.11,69,82,2.71,RU,1687228057
172,kulim,5.365,100.5618,31.74,78,95,1.24,MY,1687228057
173,askoy,60.4092,5.226,17.24,90,100,0.51,NO,1687228058
174,nar'yan-mar,67.6713,53.087,5.19,70,21,4.9,RU,1687228058
175,labrador city,52.9463,-66.9114,8.95,87,0,0.0,CA,1687228058
176,sinabang,2.4803,96.3801,28.35,70,9,0.45,ID,1687228058
177,taoudenni,22.6783,-3.9836,34.65,11,0,5.3,ML,1687228058
178,la gi,10.6667,107.7833,30.05,69,44,4.24,VN,1687228058
179,sitka,57.0531,-135.33,17.94,63,0,3.09,US,1687228058
180,alagir,43.0422,44.2222,15.3,97,100,0.78,RU,1687228059
181,zhicheng,30.2956,111.5047,28.83,73,100,0.76,CN,1687228060
182,puerto ayora,-0.7393,-90.3518,25.31,93,2,1.34,EC,1687228060
183,afaahiti,-17.75,-149.2833,27.93,78,0,3.89,PF,1687228060
184,acapulco de juarez,16.8634,-99.8901,29.9,74,40,1.03,MX,1687227810
185,central,30.5544,-91.0368,31.09,79,68,2.48,US,1687228060
186,hermiston,45.8404,-119.2895,20.01,40,0,5.14,US,1687228025
187,lusambo,-4.9667,23.45,22.48,62,100,1.23,CD,1687228060
188,borgarnes,64.5383,-21.9206,10.03,91,100,4.24,IS,1687228061
189,wenchang,30.904,118.4887,27.86,78,100,2.98,CN,1687228061
190,geraldton,-28.7667,114.6,16.23,88,75,7.2,AU,1687228061
191,camana,-16.6228,-72.7111,18.52,81,32,4.27,PE,1687228061
192,puerto baquerizo moreno,-0.9,-89.6,24.94,85,3,4.31,EC,1687228061
193,rundu,-17.9333,19.7667,11.08,31,0,1.74,NA,1687228061
194,praia da vitoria,38.7333,-27.0667,19.14,88,100,1.75,PT,1687228061
195,claiborne,32.516,-92.1918,28.84,69,100,3.09,US,1687228045
196,queenstown,-31.8976,26.8753,4.21,61,8,8.15,ZA,1687228061
197,kirillov,59.863,38.3813,9.22,94,29,0.74,RU,1687228062
198,saipan,15.1355,145.701,32.39,100,40,5.66,MP,1687228062
199,nadi,-17.8,177.4167,27.0,57,20,5.14,FJ,1687228062
200,cockburn town,21.4612,-71.1419,28.45,77,68,8.72,TC,1687228033
201,folkston,30.8305,-82.0098,26.88,83,93,1.62,US,1687228062
202,pisco,-13.7,-76.2167,20.03,77,100,2.57,PE,1687228062
203,hawaiian paradise park,19.5933,-154.9731,25.02,86,100,2.06,US,1687228062
204,laascaanood,8.4774,47.3597,23.3,64,100,11.35,SO,1687228063
205,tazacorte,28.629,-17.9293,22.54,82,100,1.79,ES,1687228063
206,mananjary,-21.2167,48.3333,20.25,72,100,1.3,MG,1687228063
207,suwayr,30.1171,40.3893,23.52,22,1,4.38,SA,1687228063
208,nagqu,31.5,92.0,9.23,57,41,3.26,CN,1687228063
209,sorong,-0.8833,131.25,27.6,79,100,5.55,ID,1687228063
210,sunne,59.8376,13.143,14.18,88,98,0.83,SE,1687228063
211,san patricio,28.017,-97.5169,30.66,81,4,6.59,US,1687228063
212,okhotsk,59.3833,143.3,11.76,79,84,4.79,RU,1687228064
213,butembo,0.15,29.2833,13.87,98,86,0.53,CD,1687228064
214,revda,56.801,59.9303,4.81,70,96,4.83,RU,1687228064
215,college,64.8569,-147.8028,20.32,40,100,3.6,US,1687228064
216,seaside,36.6111,-121.8516,19.64,74,0,6.69,US,1687228000
217,guangshui,31.6199,113.9978,29.44,65,38,1.48,CN,1687228064
218,whitehorse,60.7161,-135.0538,22.23,32,75,3.6,CA,1687227525
219,pervomayskoye,43.919,46.7102,19.07,53,100,2.37,RU,1687228064
220,manggar,-2.8833,108.2667,28.05,74,100,2.75,ID,1687228064
221,olinda,-8.0089,-34.8553,23.85,94,100,2.57,BR,1687228064
222,great bend,38.3645,-98.7648,27.8,55,0,4.63,US,1687227860
223,mantua,45.1667,10.7833,22.58,80,83,0.45,IT,1687228065
224,agat village,13.3886,144.6585,31.52,71,40,4.63,GU,1687228065
225,jalai nur,49.45,117.7,25.62,27,2,6.0,CN,1687228065
226,harper,4.375,-7.7169,24.97,87,100,4.94,LR,1687228065
227,wakkanai,45.4094,141.6739,17.99,72,40,4.12,JP,1687228065
228,iskateley,67.6803,53.1512,5.18,70,21,4.93,RU,1687228065
229,itambacuri,-18.0311,-41.685,17.63,90,45,2.13,BR,1687228065
230,camocim,-2.9022,-40.8411,24.88,89,48,3.16,BR,1687228065
231,vorkuta,67.5,64.0,4.33,75,100,4.93,RU,1687228065
232,manismata,-2.4667,111.0333,24.0,96,100,0.85,ID,1687228065
